lang
{
Language "polish"
Revo_Core0.sp_a2_full_portalgun_31 "<clr:255,200,109>Co tam się dzieje? Nie widzę cię z tąd!"
Revo_Core0.sp_a2_full_portalgun_32 "<clr:255,200,109>Słyszę różnę dzwięki... Wszystko dobrze tam na dole?"
Revo_Core0.sp_a2_full_portalgun_33 "<clr:255,200,109>Spróbuj znaleść komorę testową, bo jak narazie to cię w ogóle nie wiedzę."
Revo_Core0.sp_a2_full_portalgun_40 "<clr:255,200,109>O, tu jesteś... Jak ty się tu dostałaś?"
Revo_Core0.sp_a2_full_portalgun_41 "<clr:255,200,109>Eee, no cóż... trochę nas to zbije z kursu."
Revo_Core0.sp_a2_full_portalgun_42 "<clr:255,200,109>Nie jest bardzo źle, poprostu tego nie planowałem."
Revo_Core0.sp_a2_full_portalgun_43 "<clr:255,200,109>Eh... Ta lista robi się tylko dłuższa..."
Revo_Core0.sp_a2_full_portalgun_50 "<clr:255,200,109>Ta winda powinna nas zabrać spowrotem na tor, niestety trochę nam zajmię dostanie się spowrotem na powierzchnię."

Revo_Core0.sp_a2_playground_00_0 "<clr:255,200,109>Wow! Emm, chwila...."
Revo_Core0.sp_a2_playground_00_1 "<clr:255,200,109>Nie dziwię się dlaczego śmiertelność tego testu jest taka wysoka, skoro nie możesz nawet ominąć pierwszej wieżyczki. Ślepy zauek."
Revo_Core0.sp_a2_playground_01 "<clr:255,200,109>Pomogło?"
Revo_Core0.sp_a2_playground_02 "<clr:255,200,109>Świetnie, zadziałało! Niestety, raczej nie będę w stanie ci więcej pomóc. Nawet gdybym miał dostep do wszystkich podprogramów, i tak tylko niektóre funkcje by działały."
Revo_Core0.sp_a2_playground_10 "<clr:255,200,109>Wiesz, wieżyczki też mają uczucia. Nie trzeba być wobec nich tak okrutnym..."
Revo_Core0.sp_a2_playground_11 "<clr:255,200,109>Co? Eee... Nie zniszczyłeś ani jednej wieżyczki?"
Revo_Core0.sp_a2_playground_12 "<clr:255,200,109>Czemu? Oczekujesz to jakiejś nagrody za to? Oni przecież mogli cię tam zabić!"


Revo_Core0.sp_a2_tbeam_flings_00 "<clr:255,200,109>Zostały nam jeszcze tylko dwie komory i będziemy u celu."
Revo_Core0.sp_a2_tbeam_flings_01 "<clr:255,200,109>Wydaje mi się że ci już mówiłem że potrzebuje jakiegoś człowieka do aktywowania tego?"
Revo_Core0.sp_a2_tbeam_flings_02 "<clr:255,200,109>Z tego co słyszałem, jest to bardzo skomplikowany test, który tylko wysoce inteligentny ludzki umysł jest w stanie rozwiązać."
Revo_Core0.sp_a2_tbeam_flings_03 "<clr:255,200,109>Nie wiem na czym będzie polegać ten test, ale postaraj się zachować trochę szarych komórek na później!"
Revo_Core0.sp_a2_tbeam_flings_10 "<clr:255,200,109>O, to było satysfakcjonujące!"
Revo_Core0.sp_a2_tbeam_flings_11 "<clr:255,200,109>Oooh... Prawie idealny strzał. Byłoby fajnie gdyby trafiło!"
Revo_Core0.sp_a2_tbeam_flings_12 "<clr:255,200,109>Niezły chwyt!"

Revo_Core0.sp_a2_double_fling_00 "<clr:255,200,109>Niebo! Wreszcie jesteśmy z powrotem."
Revo_Core0.sp_a2_double_fling_01 "<clr:255,200,109>Coraz bardziej zbliżamy się do celu. Postaraj się teraz nie zginąć."
Revo_Core0.sp_a2_double_fling_10 "<clr:255,200,109>Zrobiłaś to. Zużyłaś cały żel."
Revo_Core0.sp_a2_double_fling_11 "<clr:255,200,109>Na twoje szczęście to był ostatni test, a po za tym wydaje mi się że jest łatwiej gdy kostka nie jest cała w żelu."
Revo_Core0.sp_a2_double_fling_20 "<clr:255,200,109>To zawsze takie odświerzające zobaczyć komore w której celem jest zużyć cały żel."
Revo_Core0.sp_a2_double_fling_21 "<clr:255,200,109>Most of them encourage you to smear it all over the place. Especially anywhere I can't reach!"

Revo_Core0.sp_a2_end_00 "<clr:255,200,109>Zrobiliśmy to, naprawdę to zrobiliśmy."
Revo_Core0.sp_a2_end_00_2 "<clr:255,200,109>Udało nam się, naprawdę nam się udało."
Revo_Core0.sp_a2_end_01 "<clr:255,200,109>Cóż jeszcze nie całkiem, ale w końcu to zrobimy."
Revo_Core0.sp_a2_end_02 "<clr:255,200,109>Na co czekasz? Chodźmy!"
Revo_Core0.sp_a2_end_10 "<clr:255,200,109>Eh, oczywiście... tak blisko już do końca, i kojny test!"
Revo_Core0.sp_a2_end_11 "<clr:255,200,109>Cóż, nie widzę sposobu, aby ci w tym pomóc. Będziesz musiała zrobić to po staremu."
Revo_Core0.sp_a2_end_12 "<clr:255,200,109>O zobacz, tu jest głowny przełącznik zasilania!"
Revo_Core0.sp_a2_end_12_2 "<clr:255,200,109>O zobacz, tu jest głowny przełącznik zasilania!"
Revo_Core0.sp_a2_end_12_3 "<clr:255,200,109>O zobacz, tu jest głowny przełącznik zasilania!"
Revo_Core0.sp_a2_end_13 "<clr:255,200,109>Widziałem ludzi zdźiwionych faktem że nie można wyłączyć tylko zasilania bo... jak wiesz... nie działa to tylko w jedną stronę."
Revo_Core0.sp_a2_end_14 "<clr:255,200,109>Oczywiście ty to już wiedziałaś, ale jestem zaskoczony ile ludzie potrzebują czasami wskazówek."
Revo_Core0.sp_a2_end_14_2 "<clr:255,200,109>Oczywiście ty to już wiedziałaś, ale jestem zaskoczony ile ludzie potrzebują czasami podpowiedzi."
Revo_Core0.sp_a2_end_20 "<clr:255,200,109>Już połowa drogi za nami. Przynajmniej mamy tutaj ładny widok! Życie robi sie trochę sklastrofobiczne tam na dole w placówce."
Revo_Core0.sp_a2_end_21 "<clr:255,200,109>Jeśli to nie będzie ostatnia komora, to chyba sobię pomyślę że sobie ze mnie drwisz!"
Revo_Core0.sp_a2_end_22 "<clr:255,200,109>To ciągłe czekanie mnie już wykańcza! Za niedługo wreszcie przywrócę wszystkich do żywych!"
Revo_Core0.sp_a2_end_30 "<clr:255,200,109>There she blows."
Revo_Core0.sp_a2_end_31 "<clr:255,200,109>Ta iglica sięga od dołu placówki aż na samą powierzchnię."
Revo_Core0.sp_a2_end_32 "<clr:255,200,109>Z pewnością nie chesz spaść tam na dół!"
Revo_Core0.sp_a2_end_33 "<clr:255,200,109>Idź przodem."
Revo_Core0.sp_a2_end_34 "<clr:255,200,109>Ja pojdę tą drogą. Widzimy się w sterowni!"

Revo_Core0.sp_a2_end_2_00 "<clr:255,200,109>Ale maszyna. Sprawdź sterowanie. Szukaj rzeczy które wydają się być skomplikowane!"
Revo_Core0.sp_a2_end_2_01 "<clr:255,200,109>Czekaj, to tyle? Wystarczy że naciśniesz ten przycisk?"
Revo_Core0.sp_a2_end_2_02 "<clr:255,200,109>Trochę to rozczarowujące."
Revo_Core0.sp_a2_end_2_03 "<clr:255,200,109>Z resztą... Włącza się. Za chwilę zobaczysz do czego zdolna jest ta bestia."
Revo_Core0.sp_a2_end_2_04 "<clr:255,200,109>Jak narazie wygląda to dobrze."
Revo_Core0.sp_a2_end_2_05 "<clr:255,200,109>Musimy jeszcze sprawdzic kilka rzeczy. Zaraz powinna dotrzeć do ciebie kostka."
Revo_Core0.sp_a2_end_2_06 "<clr:255,200,109>Teraz włóż ją proszę do lewej komory."
Revo_Core0.sp_a2_end_2_10 "<clr:255,200,109>Dobra, zaczynam pierwszy test na martwym obiekcie."
Revo_Core0.sp_a2_end_2_11 "<clr:255,200,109>Jeśli wszystko pójdzie dobrze, kostka powinna się przeteleportować do drugiej komory."
Revo_Core0.sp_a2_end_2_12 "<clr:255,200,109>Proszę zadziałaj... Rozpoczynam pierwszą teleportacje... Teraz!"
Revo_Core0.sp_a2_end_2_13 "<clr:255,200,109>Zadziałało. Naprawdę zadziałało!"
Revo_Core0.sp_a2_end_2_14 "<clr:255,200,109>Too... Świetnie!"
Revo_Core0.sp_a2_end_2_15 "<clr:255,200,109>Widzisz, kiedy niskotechnologiczne urządzenia jak na przykład twoje Przenośne Urządzenie Portalowe musi stworzyć fizyczne portale, ta maszyna może zamienić miejscami dwa ogromne obiekty gdziekolwiek chce."
Revo_Core0.sp_a2_end_2_16 "<clr:255,200,109>We design entire test chambers around not being able to shoot portals through walls while this thing just bypasses our 3 dimensional plane."
Revo_Core0.sp_a2_end_2_17 "<clr:255,200,109>Wracając, idź wyrzucić tą kostke. Musimy po sobie sprzątać."
Revo_Core0.sp_a2_end_2_20 "<clr:255,200,109>Nie chcę psuć ci humoru, ale jest jeszcze jedna rzecz którą musimy sprawdzić."
Revo_Core0.sp_a2_end_2_21 "<clr:255,200,109>Pierwsze było nieożywione, teraz... ożywione."
Revo_Core0.sp_a2_end_2_22 "<clr:255,200,109>Wejdź prosze do komory."
Revo_Core0.sp_a2_end_2_30 "<clr:255,200,109>Dobrze."
Revo_Core0.sp_a2_end_2_31 "<clr:255,200,109>Przepraszam, ale aby zacząć z tym testem, nie możesz pełnić obowiązku dozorcy."
Revo_Core0.sp_a2_end_2_32 "<clr:255,200,109>Nie przejmuj się, zatrudnię cię spowrotem jak tylko skończymy, ale narazie potrzebuję zarejestowanego obiektu testowego."
Revo_Core0.sp_a2_end_2_33 "<clr:255,200,109>Dobra, prawie gotowe."
Revo_Core0.sp_a2_end_2_34 "<clr:255,200,109>Dziękuję ci że to dla nas robisz."
Revo_Core0.sp_a2_end_2_35 "<clr:255,200,109>No cóż, czas położyć kres upadkowi. Odbuduję centralny rdzeń."
Revo_Core0.sp_a2_end_2_36 "<clr:255,200,109>A no tak, ty pewnie znasz ją jako GLaDOS? Myślisz że to już najwyższy czas?"
Revo_Core0.sp_a2_end_2_37 "<clr:255,200,109>Ten potwór porozrzucał jej części po całej placówce. Nawet na parking! Nie możliwe że mógłbym ją poskładać bez tej maszyny."
Revo_Core0.sp_a2_end_2_40 "<clr:255,200,109>Czas rozpocząć test."
Revo_Core0.sp_a2_end_2_41 "<clr:255,200,109>Za chwilę się widzimy."
Revo_Core0.sp_a2_end_2_50 "<clr:255,200,109>Nie dobrze. Co ty tam robisz?"
Revo_Core0.sp_a2_end_2_51 "<clr:255,200,109>Uciekaj z tam tąd!"
Revo_Core0.sp_a2_end_2_52 "<clr:255,200,109>Nie mogę tego wyłączyć!"
Revo_Core0.sp_a2_end_2_52_2 "<clr:255,200,109>Nie mogę tego wyłączyć!"
Revo_Core0.sp_a2_end_2_60 "<clr:255,200,109>Dobrze, jesteś z powrotem. Myślałem że cię straciłem. Naprawię to, wiem że potrafię, poprostu potrzebuję czasu."
Revo_Core0.sp_a2_end_2_70 "<clr:255,200,109>Zadziałało, prawie to naprawiłem! Spróbuję cię jakoś wydostać z tej pętli. Musze to zrobić szybko zanim znowu znikniesz. Przygotuj się."

Revo_Core1.sp_a3_intro_00 "<clr:255,255,255>Witaj w Centrum Wzbogacania Aperture Science!"
Revo_Core1.sp_a3_intro_01 "<clr:255,255,255>Dobrze wyszło?"
Revo_Core1.sp_a3_intro_02 "<clr:255,255,255>Okej, dobra."
Revo_Core1.sp_a3_intro_03 "<clr:255,255,255>Fakt że stoisz tutaj pozwala mi przypuścić, że chcesz pomóc nam zrewolucjonizować świat, tak jak robimy to od ponad 30 lat."
Revo_Core1.sp_a3_intro_04 "<clr:255,255,255>Zła linijka? O tą chodzi?"
Revo_Core1.sp_a3_intro_05 "<clr:255,255,255>[Stłumione głosy]"
Revo_Core1.sp_a3_intro_06 "<clr:255,255,255>Obiad o 10? Czekaj, gdzie ty idziesz? Czyli nie kończymy mojej części?"

Revo_Core1.sp_a3_vactube_intro_00 "<clr:255,255,255>Już się nagrywa? Okej."
Revo_Core1.sp_a3_vactube_intro_01 "<clr:255,255,255>Dobra, spróbujemy czegoś nowego w tym teście"
Revo_Core1.sp_a3_vactube_intro_02 "<clr:255,255,255>Jeśli byłeś przy pracy nad tym urządzeniem, powinieneś wiedzieć jak ono działa, jeśli jednak nie, to tak właściwie da nam więcej informacji. Poprostu baw się dobrze."
Revo_Core1.sp_a3_vactube_intro_03 "<clr:255,255,255>Nie powinno ci to zrobić krzywdy."
Revo_Core1.sp_a3_vactube_intro_10 "<clr:255,255,255>Dla wszystkich którzy nie zapoznali się z przewodnik wprowadzający, i nie przeczytali pneumatic diversity vents:"
Revo_Core1.sp_a3_vactube_intro_11 "<clr:255,255,255>Wszystkie pneumatyczne otwory wentylacyjne w komorach testowych zostały skalibrowane do maksymalnego obciążenia 60 kg, aby zapobiec zassaniu i wyrzuceniu większości ludzi."
Revo_Core1.sp_a3_vactube_intro_12 "<clr:255,255,255>Jeśli Twoja masa ciała wynosi poniżej 60 kg, zalecana jest szczególna ostrożność."
Revo_Core1.sp_a3_vactube_intro_20 "<clr:255,255,255>Dobra robota!"
Revo_Core1.sp_a3_vactube_intro_21 "<clr:255,255,255>Przypominamy, że poniższe komory testowe mogą nie zawierać wcześniej nagranych wiadomości tego typu, których zadaniem było zmierzenie zachowania osób testujących w środowiskach pozbawionych kontaktu z ludźmi."
Revo_Core1.sp_a3_vactube_intro_22 "<clr:255,255,255>Powodzenia!"

Revo_Core1.sp_a3_labs_00 "<clr:105,154,192>Już?"
Revo_Core1.sp_a3_labs_01 "<clr:105,154,192>Co-? Oh!"
Revo_Core1.sp_a3_labs_02 "<clr:105,154,192>Co się dzieję? Gdzie ja jestem?"
Revo_Core1.sp_a3_labs_03 "<clr:105,154,192>Co, kim ty jesteś?"
Revo_Core1.sp_a3_labs_04 "<clr:105,154,192>O nie nie nie nie nie"
Revo_Core1.sp_a3_labs_05 "<clr:105,154,192>Co się dzieję? Gdzie moje ręce?"
Revo_Core1.sp_a3_labs_06 "<clr:105,154,192>Czy ja jestem? Nie to nie możliwe. Czy jednak?"
Revo_Core1.sp_a3_labs_07 "<clr:105,154,192><I>[Głębokie westchnięcie]<I>"
Revo_Core1.sp_a3_labs_08 "<clr:105,154,192>Okej, zróbmy to porządnie. Przepraszam za moją panikę."
Revo_Core1.sp_a3_labs_09 "<clr:105,154,192>Wytłumaczę ci co właśnie się stało, tylko spróbujmy stąd wyjść na początku."
Revo_Core1.sp_a3_labs_10 "<clr:105,154,192>Możesz mnie podnieść?"
Revo_Core1.sp_a3_labs_20 "<clr:105,154,192>Dzięki."
Revo_Core1.sp_a3_labs_21 "<clr:105,154,192>Tak wogóle, to gdzie są wszyscy? Biuro jest już zamknięte? I co obiekt testowy tu wogóle robi?"
Revo_Core1.sp_a3_labs_22 "<clr:105,154,192>Niedaleko z tąd jest centrum. Chodźmy tam."
Revo_Core1.sp_a3_labs_30 "<clr:105,154,192>Strasznie tu ciemno. Widzisz gdzieś przełącznik światła?"
Revo_Core1.sp_a3_labs_31 "<clr:105,154,192>W sęsie nie musimy tędy wcale iść? Rozumiem że wolała być znaleść inną drogę, jeśli boisz się ciemności. Nic w tym złego."
Revo_Core1.sp_a3_labs_32 "<clr:105,154,192>Nie przeszkadza mi to, nie nie nie, dlaczego ja miałbym się bać ciemności?"
Revo_Core1.sp_a3_labs_33 "<clr:105,154,192>To po prostu brak światła, prawda? Dla czego ktokolwiek miałby wymyślić na to fobię?"
Revo_Core1.sp_a3_labs_34 "<clr:105,154,192>Nie ma innego wyjścia, hmm?"
Revo_Core1.sp_a3_labs_35 "<clr:105,154,192>Możliwe że mam jakiś pomysł. Daj mi coś spróbować."
Revo_Core1.sp_a3_labs_36 "<clr:105,154,192>Wow, działa. Niesamowite!"
Revo_Core1.sp_a3_labs_37 "<clr:105,154,192>I tak nie podoba mi się ten plan, ale chodźmy już."
Revo_Core1.sp_a3_labs_38 "<clr:105,154,192>Tylko cienie... i same cienie..."
Revo_Core1.sp_a3_labs_39 "<clr:105,154,192>Chodzić po biurze po zamknięciu z jakimś nieznajomym i robić mu za latarkę..."
Revo_Core1.sp_a3_labs_40 "<clr:105,154,192>Słuchaj, Przepraszam cię za-"
Revo_Core1.sp_a3_labs_41 "<clr:105,154,192>Oh! Tak bardzo mi przykro. Moja wina, Nie chciałam cię wcale oślepić."
Revo_Core1.sp_a3_labs_50 "<clr:105,154,192>Okej! Co tu się stało?"
Revo_Core1.sp_a3_labs_52 "<clr:105,154,192>Możesz popatrzeć przez to okno?"
Revo_Core1.sp_a3_labs_53 "<clr:105,154,192>Okej, tylko znowu nie panikować. Możesz mi powiedzieć który mamy rok?"
Revo_Core1.sp_a3_labs_54 "<clr:105,154,192>Aha, też nie wiesz? Czyli jedziemy teraz na jednym wózku."
Revo_Core1.sp_a3_labs_55 "<clr:105,154,192>Spróbuj otworzyć te drzwi. Przypnij mnie do tej wtyczki w ścianie, prawdzę co mogę zrobić."
Revo_Core1.sp_a3_labs_55_woo "<clr:105,154,192>Zium!"
Revo_Core1.sp_a3_labs_56 "<clr:105,154,192>Zrobionie."
Revo_Core1.sp_a3_labs_57 "<clr:105,154,192>Nie zapomnij mnie wziąść."
Revo_Core1.sp_a3_labs_58 "<clr:105,154,192>Wcześniej tego wszystkiego tu nie było."
Revo_Core1.sp_a3_labs_59 "<clr:105,154,192>Jak długo mnie nie było? Chyba kilka dekad!"
Revo_Core1.sp_a3_labs_60 "<clr:105,154,192>Nie mam pojęcie gdzie teraz idziemy. Musimy znaleść jakąś szynę zarządzania, w tedy będę mogła się połączyć z systemem."
Revo_Core1.sp_a3_labs_61 "<clr:105,154,192>Winda, pewnie. Co najgorszego może nas tam na górze spotkać niby?"
Revo_Core1.sp_a3_labs_62 "<clr:105,154,192>Właściwie, to nie chcesz wiedzieć."

Revo_Core1.sp_a3_vactube_lumber_00 "<clr:105,154,192>Mogę cię szybko o coś zapytać? Jaki to model urzadenia portalowego? Nie wygląda jak żaden, który wcześniej widziałam."
Revo_Core1.sp_a3_vactube_lumber_01 "<clr:105,154,192>Wygląda nieźle. Projektańci dobrze się spisali. Inżynierzy też. Very slim fit."
Revo_Core1.sp_a3_vactube_lumber_02 "<clr:105,154,192>O! Wreszcie znaleźliśmy jakąś szynę zarządzania!"
Revo_Core1.sp_a3_vactube_lumber_03 "<clr:105,154,192>Wow! Dziwnie. Będę musiała się do tego przyzwyczaić."
Revo_Core1.sp_a3_vactube_lumber_04 "<clr:105,154,192>Dzięki, obiekcie testowy."
Revo_Core1.sp_a3_vactube_lumber_05 "<clr:105,154,192>Mam nadzieję, że nie będę przeszkadzać, jeśli dołączę do ciebie na chwilę, podczas gdy próbuję zrozumieć, co przydażyło się mi, tobie i całej placówce."
Revo_Core1.sp_a3_vactube_lumber_10 "<clr:105,154,192>A więc, jeszcze raz przepraszam za moje chaotyczne wprowadzenien. Nazywam się Emilia Conly i pracuje w grupie prowadzącej badania nad sztuczną inteligencją."
Revo_Core1.sp_a3_vactube_lumber_11 "<clr:105,154,192>Coż, pracowałam. Do teraz."
Revo_Core1.sp_a3_vactube_lumber_12 "<clr:105,154,192>Widzisz, moim głownym zadaniem było skanowanie mózgów i wygląda na to, że jeden z moich starych skanów właśnie się załadował do tego robota."
Revo_Core1.sp_a3_vactube_lumber_13 "<clr:105,154,192>Znałem ryzyko, jakie niesie ze sobą taka sytuacja. Wdrożyliśmy rygorystyczne procedury usuwania kopii zapasowych, aby przypadkowo nie sklonować naszych umysłów, ale oto jesteśmy."
Revo_Core1.sp_a3_vactube_lumber_20 "<clr:105,154,192>Naprawdę staram się teraz powstrzymać panikę!"
Revo_Core1.sp_a3_vactube_lumber_21 "<clr:105,154,192>Czytałem zapisy tego, co się wydarzyło, kiedy mnie nie było."
Revo_Core1.sp_a3_vactube_lumber_22 "<clr:105,154,192>Wszyscy nie żyją. Wszyscy!"
Revo_Core1.sp_a3_vactube_lumber_23 "<clr:105,154,192>I to moja wina!"
Revo_Core1.sp_a3_vactube_lumber_24 "<clr:105,154,192>Widzisz, pracowałem nad nią. Stworzyłem genetyczną formę życia i dyskowy system operacyjny, tak jak chciał Cave."
Revo_Core1.sp_a3_vactube_lumber_25 "<clr:105,154,192>Cóż, moje ludzkie ja tak zrobiło. Nie pamiętam tego, ale zapisy są jasne."
Revo_Core1.sp_a3_vactube_lumber_26 "<clr:105,154,192>Caroline nigdy nie wyraziła zgody na przeskanowanie, ale jakoś musieli znaleźć na to sposób."
Revo_Core1.sp_a3_vactube_lumber_27 "<clr:105,154,192>Muszę to trochę przetrawić i zastanowić się, co teraz zrobić. Do zobaczenia za chwilę."


Revo_Core1.sp_a3_lake_00 "<clr:105,154,192>Cześć! Wróciłam."
Revo_Core1.sp_a3_lake_01 "<clr:105,154,192>Wiem, nie minęło dużo czasu, ale chciałam być grzeczna."
Revo_Core1.sp_a3_lake_02 "<clr:105,154,192>Pamiętaj że nigdy nie zapytałam co tutaj robisz."
Revo_Core1.sp_a3_lake_03 "<clr:105,154,192>Doprostu spróbujmy stąd sie wydostać. To nie jest dobre miejsce by być wokół teraz."
Revo_Core1.sp_a3_lake_10 "<clr:105,154,192>Ciemno znowu. Pozwól że oświetlę ci to."
Revo_Core1.sp_a3_lake_11 "<clr:105,154,192>Co to by-? Przysięgam, że te trzęsienia ziemi nie są normalne. Co to jest?"
Revo_Core1.sp_a3_lake_12 "<clr:105,154,192>Będę tam zachwile."
Revo_Core1.sp_a3_lake_20 "<clr:105,154,192>Nie było mnie tu długo! Wow, to nie zmieniło sie ani troche."
Revo_Core1.sp_a3_lake_21 "<clr:105,154,192>Ach tak, nudny pokój prezentacyjny."
Revo_Core1.sp_a3_lake_22 "<clr:105,154,192>Z jakiegoś powodu, salom prezentacyjnym przydzielono specjalne role."
Revo_Core1.sp_a3_lake_23 "<clr:105,154,192>To jest ten nudny, w którym prezentowane są tylko nieciekawe tematy."
Revo_Core1.sp_a3_lake_24 "<clr:105,154,192>Pracowałem obok „sali prezentacyjnej zagrożeń”. Cóż, taki jest jego pseudonim. To, co tam przedstawiają, jest na początku szokujące, ale szybko przestałam się tym przejmować."
Revo_Core1.sp_a3_lake_30 "<clr:105,154,192>Manekiny?"
Revo_Core1.sp_a3_lake_31 "<clr:105,154,192>Hmm interesujące. Myślisz że mogę znaleść tu jakieś ludzkie ciało androida? Zapomniałem jak sie czuje mając ręce."
Revo_Core1.sp_a3_lake_40 "<clr:105,154,192>Światło! W końcu!"
Revo_Core1.sp_a3_lake_41 "<clr:105,154,192>Nie moge przesztać mysleć o ciale androida. Jestem ciekaw czy skończyli je robić?"
Revo_Core1.sp_a3_lake_50 "<clr:105,154,192>Woah!"
Revo_Core1.sp_a3_lake_51 "<clr:105,154,192>Uważaj!"
Revo_Core1.sp_a3_lake_52 "<clr:105,154,192>Co to By-? Czy widziałaś to?"
Revo_Core1.sp_a3_lake_53 "<clr:105,154,192>Lepiej Chodźmy w góre zanim to się powtórzy."
Revo_Core1.sp_a3_lake_54 "<clr:105,154,192>Czekaj, Czy to jest-? Nie nie może. Wygląda jakby pochłaniało energię elektryczną?"
Revo_Core1.sp_a3_lake_60 "<clr:105,154,192>O nie. Myśle że to stare niebezpieczne urządzenie teleportujące."
Revo_Core1.sp_a3_lake_61 "<clr:105,154,192>I zaraz wybuchnie. Wynoś się tam!"
Revo_Core1.sp_a3_lake_62 "<clr:105,154,192>WOAH! To było bliskie!"
Revo_Core1.sp_a3_lake_63 "<clr:105,154,192>Okej, nowy Cel..."
Revo_Core1.sp_a3_lake_64 "<clr:105,154,192>Musimy zniszcyć to coś."
Revo_Core1.sp_a3_lake_65 "<clr:105,154,192>Tutaj, mamy Dla siebie [Oczyszcza gardło] APERTURE SCIENCE NONLOCAL MATTER DISPLACEMENT DEVICE. [Chicocze] Całkiem sporo, Wiem. Nasz team nazwał go “iglica.” Dodaje do tego odrobinę pizzy, prawda?"
Revo_Core1.sp_a3_lake_66 "<clr:105,154,192>Został opracowany jako następca eksperymentów Borealis z lat 70-tych, Ale nigdy go niewidziałam go własnymi oczami"
Revo_Core1.sp_a3_lake_67 "<clr:105,154,192>No cóż, na własne oczy jeszcze tego nie widziałem, chyba że liczą się aparaty cyfrowe."
Revo_Core1.sp_a3_lake_68 "<clr:105,154,192>Lepiej już chodźmy. Znajdźmy drogę na powierzchnię. Tam znajdziemy sterownię."
Revo_Core1.sp_a3_lake_70 "<clr:105,154,192>To zabrzmi głupio, więc po prostu wykaż się cierpliwością."
Revo_Core1.sp_a3_lake_71 "<clr:105,154,192>Rury do wywozu śmieci tworzą znacznie większą siłę niż te w komorach testowych. Powinien móc cię nieść."
Revo_Core1.sp_a3_lake_72 "<clr:105,154,192>Jeśli wskoczysz do tej tuby, poprowadzę cię do wyższych warstw obiektu."
Revo_Core1.sp_a3_lake_73 "<clr:105,154,192>Tak, spróbujmy tego!"
Revo_Core1.sp_a3_lake_74 "<clr:105,154,192>Może wstrzymaj twój oddech."
Revo_Core1.sp_a3_lake_walla_00 "<clr:105,154,192>Zero rąk, tylko uchwyty."
Revo_Core1.sp_a3_lake_walla_01 "<clr:105,154,192>Hm-hm, hm hm hm-hm hm.... Hm, hm-hm... Hm, hm-hm... Hm-hm, hm hm hm-hm hm...."

Revo_Core1.sp_a3_vactube_cuberemove_00 "<clr:105,154,192>To jest jak daleko moge ciebie Prenieść."
Revo_Core1.sp_a3_vactube_cuberemove_01 "<clr:105,154,192>Kurde to ledwie połowa!"
Revo_Core1.sp_a3_vactube_cuberemove_02 "<clr:105,154,192>Więc... wygląda na to że musimy przejść długą drogę. Przepraszam..."
Revo_Core1.sp_a3_vactube_cuberemove_03 "<clr:105,154,192>Zamierzam zbadać tę iglicę, podczas gdy ty będziesz rozwiązywał komory Testowe"
Revo_Core1.sp_a3_vactube_cuberemove_10 "<clr:105,154,192>Znalazłem pewne wewnętrzne dokumenty Iglicy... Co waży 20 MEGABAJTÓW!"
Revo_Core1.sp_a3_vactube_cuberemove_11 "<clr:105,154,192>Jak udało im się zmieścić to wszystko na jednym dysku?"

Revo_Core1.sp_a3_vactube_pipes_00 "<clr:105,154,192>Czytałam o iglicy."
Revo_Core1.sp_a3_vactube_pipes_01 "<clr:105,154,192>Zastanawia mnie jedna rzecz. Kto to aktywował?"
Revo_Core1.sp_a3_vactube_pipes_02 "<clr:105,154,192>Przez dziesięciolecia był uśpiony i nagle wkroczył do akcji?"
Revo_Core1.sp_a3_vactube_pipes_03 "<clr:105,154,192>Ktokolwiek to był musiał to bardzo zezłościć."
Revo_Core1.sp_a3_vactube_pipes_10 "<clr:105,154,192>Znowu to było. Widziałeś?"
Revo_Core1.sp_a3_vactube_pipes_11 "<clr:105,154,192>Iglica kradnie stąd zasoby w części sekwencji włączania.."
Revo_Core1.sp_a3_vactube_pipes_12 "<clr:105,154,192>Nie sądzę, że stanowi to dla nas bezpośrednie zagrożenie, ale..."
Revo_Core1.sp_a3_vactube_pipes_13 "<clr:105,154,192>Coś po prostu nie gra."
Revo_Core1.sp_a3_vactube_pipes_14 "<clr:105,154,192>Aperture lubi grzebać we wszystkim, bez względu na to, jak niebezpieczne jest to."
Revo_Core1.sp_a3_vactube_pipes_15 "<clr:105,154,192>Fakt, że przerwali ten eksperyment, tak naprawdę nie napawa mnie emocjami, które określiłbym jako “pozytywne”.."

Revo_Core1.sp_a3_vactube_gelbending_00 "<clr:105,154,192>Czy wiesz, że Aperture symuluje oddychanie i mruganie w swoich czujących robotach?"
Revo_Core1.sp_a3_vactube_gelbending_01 "<clr:105,154,192>Nadal mam coś w rodzaju podświadomego odruchu oddychania i mrugania oczami, chociaż nie jest to technicznie konieczne."
Revo_Core1.sp_a3_vactube_gelbending_02 "<clr:105,154,192>Okazuje się, że ludzki umysł nie radzi sobie dobrze, gdy te funkcje są usunięte."
Revo_Core1.sp_a3_vactube_gelbending_03 "<clr:105,154,192>Ciesz się, że nie zgłosiłeś się na ochotnika do naszych wczesnych testów map myśli. To nie były dobre czasy na bycie obiektem testowym."
Revo_Core1.sp_a3_vactube_gelbending_10 "<clr:105,154,192>Podsumowując: GLaDOS zabiła wszystkich ludzi, a potem sama została zabita przez obiekt testowy."
